id,question_text,question_type,category,difficulty
1,Electrons are larger than molecules.,1,2,1
2,Spiders have six legs.,1,1,1
3,Water is an example of a chemical element.,1,1,1
4,Mars has two kinds of motion.,1,1,2
5,Astronomers can look back in time.,1,2,2
6,"There are more than 2,000 kinds of mosquitoes.",1,1,3
7,The path of a light ray can be bent as it travels past a massive object.,1,2,3
8,The wavelength of red light is shorter than that of blue light.,1,2,3
9,Galaxies are classified by their shape.,1,1,2
10,A meteor would burn up more rapidly in the atmosphere of Mars than it would passing through the Earth’s atmosphere.,1,2,2
11,China only has one time zone,1,3,2
12,No countries share a land border with the United Kingdom,1,3,2
13,100% of the territory of Singapore is located on islands,1,3,2
14,Which company makes the Xperia model of smartphone?,2,1,2
15,Which city is home to the Brandenburg Gate?,2,3,2
16,What is the strongest muscle in the human body?,2,2,2
17,"In the movie ""Forrest Gump,"" Forrest's mother famously says, ""Life is like a box of _____.""",3,1,2
18,The capital of Peru is _____.,3,3,2
19,The _____ is the largest organ inside the human body.,3,2,2
20,"What is a word, phrase, number, or other sequence of characters that reads the same backward as forward?",4,1,3
21,Which planet has the most moons?,4,2,3
22,"Where is Angel Falls, the world’s largest waterfall, located?",4,3,3
